feature,mean_signed_coef,mean_abs_coef,n_folds_pos,n_folds_neg,n_folds_nonzero,sign_consistency
expr_ENSG00000210082,0.0,0.0,0,0,0,
expr_ENSG00000210144,0.0,0.0,0,0,0,
expr_ENSG00000198804,0.0,0.0,0,0,0,
expr_ENSG00000248527,0.0,0.0,0,0,0,
expr_ENSG00000145113,0.0,0.0,0,0,0,
expr_ENSG00000128731,0.0,0.0,0,0,0,
expr_ENSG00000049759,0.0,0.0,0,0,0,
expr_ENSG00000205542,0.0,0.0,0,0,0,
expr_ENSG00000105339,0.0,0.0,0,0,0,
expr_ENSG00000148053,0.0,0.0,0,0,0,
expr_ENSG00000279184,0.0,0.0,0,0,0,
expr_ENSG00000154358,0.0,0.0,0,0,0,
expr_ENSG00000210196,0.0,0.0,0,0,0,
expr_ENSG00000228253,0.0,0.0,0,0,0,
expr_ENSG00000126773,0.0,0.0,0,0,0,
expr_ENSG00000042781,0.0,0.0,0,0,0,
expr_ENSG00000212907,0.0,0.0,0,0,0,
expr_ENSG00000198695,0.0,0.0,0,0,0,
expr_ENSG00000211459,0.0,0.0,0,0,0,
expr_ENSG00000198899,0.0,0.0,0,0,0,
expr_ENSG00000140538,0.0,0.0,0,0,0,
expr_ENSG00000130723,0.0,0.0,0,0,0,
expr_ENSG00000198712,0.0,0.0,0,0,0,
expr_ENSG00000198938,0.0,0.0,0,0,0,
expr_ENSG00000198840,0.0,0.0,0,0,0,
